Product ID,Product Name,Category,Description,Weight (kg)
P001,Organic Baby Puree,Baby Food,Nutritious puree for infants and toddlers.,0.2
P002,Whole Grain Cereal,Cereal,High-fiber breakfast cereal.,0.5
P003,Ergonomic Pen Set,Office Supplies,A set of comfortable and durable pens.,0.1
P004,Fresh Organic Apples,Fruits,"Locally sourced, crisp, and sweet apples.",0.3
P005,Smart Home Hub,Household,Central control for smart home devices.,0.8
P006,Mixed Vegetable Pack,Vegetables,"A medley of fresh, seasonal vegetables.",1
P007,Gentle Face Cleanser,Personal Care,Mild and effective daily face cleanser.,0.15
P008,Classic T-Shirt,Clothes,"100% cotton, comfortable everyday wear.",0.25
P009,Sparkling Water,Beverages,Refreshing carbonated mineral water.,0.33
P010,Luxury Lipstick,Cosmetics,"Long-lasting, vibrant lipstick.",0.03
P011,Premium Beef Cuts,Meat,"High-quality, tender beef cuts.",0.75
P012,Assorted Snack Box,Snacks,A variety of delicious and healthy snacks.,0.4